,location,industry,experience,skills,salary
0,село Петровское,"['Рабочий персонал', 'Транспорт, логистика']",не требуется,,от 74 000 руб. до вычета налогов
1,Москва,"['Транспорт, логистика']",не требуется,Автомобильные грузоперевозки Работа в команде Грамотная речь Деловое общение Обучение и развитие,от 80 000 руб. на руки
2,Москва,"['Рабочий персонал', 'Транспорт, логистика']",1–3 года,,от 97 000 до 150 000 руб. на руки
3,Москва,['Продажи'],1–3 года,,от 80 000 руб. до вычета налогов
4,Москва,"['Рабочий персонал', 'Транспорт, логистика']",не требуется,оформление заказов Точность и внимательность к деталям Электронная почта Способность обучать других Навыки работы с первичной документацией,от 50 000 руб. до вычета налогов
5,Москва,"['Продажи', 'Начало карьеры, студенты']",не требуется,"Пользователь ПК Работа в команде Выкладка товаров Обслуживание покупателей Умение работать в команде Розничная торговля Коммуникабельность, стрессоустойчивость Планирование карьеры",от 50 000 до 60 000 руб. до вычета налогов
6,Москва,"['Рабочий персонал', 'Строительство, недвижимость']",не требуется,,от 60 000 до 70 000 руб. до вычета налогов
7,Москва,"['Рабочий персонал', 'Транспорт, логистика']",не требуется,сборка заказов,от 65 000 до 65 000 руб. на руки
8,Москва,"['Безопасность', 'Банки, инвестиции, лизинг']",не требуется,Работа в команде Проведение ревизий Работа с документами Умение принимать решения MS Access,от 66 000 до 72 000 руб. до вычета налогов
9,Москва,"['Рабочий персонал', 'Транспорт, логистика']",не требуется,,от 88 000 до 116 000 руб. на руки
10,Москва,['Безопасность'],не требуется,Охрана объекта Умение работать в команде,от 50 000 до 60 000 руб. на руки
11,Санкт-Петербург,"['Спортивные клубы, фитнес, салоны красоты', 'Административный персонал', 'Продажи']",не требуется,Навыки межличностного общения Проведение презентаций Телефонные переговоры Организаторские навыки Грамотная речь Консультирование клиентов по телефону Консультирование клиентов Клиентоориентированность Ориентация на результат Стоматология Умение планировать Работа в условиях многозадачности Поиск информации в интернет Знание MS Office Сдержанность Навыки разрешения спорных ситуаций Управление временем Организационная осведомленность Эффективное принятие решений Желание учиться и развиваться,от 60 000 до 80 000 руб. до вычета налогов
12,Санкт-Петербург,"['Маркетинг, реклама, PR', 'Административный персонал', 'Начало карьеры, студенты']",не требуется,Целеустремленность Ориентация на результат Коммуникабельность Работа в команде Ответственность Пунктуальность курьер Знание устройства автомобиля Транспортная логистика,от 70 000 до 165 000 руб. на руки
13,Ростов-на-Дону,"['Рабочий персонал', 'Транспорт, логистика']",1–3 года,Работа на складе Упаковка товара Формирование посылок,от 45 000 до 45 000 руб. на руки
14,Екатеринбург,"['Административный персонал', 'Продажи']",не требуется,Работа в команде Опытный пользовать ПК Продажи Удаленная работа Пользователь ПК входящие звонки Многозадачность,от 50 000 до 100 000 руб. на руки
15,Москва,['Продажи'],1–3 года,Активные продажи Теплые звонки Навыки работы с возражениями Привлечение клиентов B2B Продажи Знание техники продаж телефонные продажи,от 70 000 до 130 000 руб. на руки
16,Москва,"['Медицина, фармацевтика']",не требуется,Медицинская документация Работа в команде Работа с большим объемом информации Медицинское оборудование Взятие крови Взятие мазков Работа с кассой Владение компьютером,от 65 000 до 80 000 руб. на руки
17,Москва,"['Транспорт, логистика']",не требуется,Водительское удостоверение категории B Работа в команде,от 67 000 до 90 000 руб. на руки
18,Москва,['Административный персонал'],не требуется,Английский язык Организаторские навыки Работа в команде MS PowerPoint Креативность,от 90 000 до 130 000 руб. до вычета налогов
19,Москва,['Продажи'],1–3 года,Активные продажи Навыки телефонных продаж Навыки продаж Работа с возражениями Оценка потребностей клиентов B2B Продажи Агентские продажи реализация товаров и услуг amoCRM Работа с существующей базой клиентов Продажи юридическим лицам Ведение активных клиентов Ведение клиентской базы Опыт продаж Навыки работы с возражениями Ориентация на результат Холодные звонки Продажи телефонные продажи Ведение переговоров Грамотная речь Прямые продажи Телефонные переговоры Заключение договоров Деловая переписка Умение работать в команде Планирование продаж Холодные продажи,от 50 000 до 724 000 руб. на руки
20,Москва,"['Административный персонал', 'Продажи']",не требуется,,от 43 500 руб. до вычета налогов
21,Москва,['Административный персонал'],3–6 лет,Написание текстов Написание пресс-релизов Написание статей Грамотная речь PR,от 100 000 руб. на руки
22,Санкт-Петербург,"['Транспорт, логистика']",не требуется,Водительское удостоверение категории B,от 110 000 до 150 000 руб. на руки
23,Москва,"['Туризм, гостиницы, рестораны', 'Начало карьеры, студенты']",1–3 года,,от 100 000 руб. на руки
24,Москва,"['Спортивные клубы, фитнес, салоны красоты', 'Административный персонал', 'Продажи']",не требуется,Грамотная речь Работа в команде Прием и распределение телефонных звонков Клиентоориентированность Администрирование Консультирование клиентов по телефону,от 60 000 до 100 000 руб. на руки
25,Москва,"['Транспорт, логистика']",не требуется,Водительское удостоверение категории B Слесарные работы,от 120 000 до 160 000 руб. на руки
26,Москва,"['Маркетинг, реклама, PR']",1–3 года,Пользователь ПК Грамотная речь Работа в команде Грамотность Английский язык Смм Продажи,от 50 000 руб. на руки
27,Москва,"['Административный персонал', 'Транспорт, логистика', 'Бухгалтерия, управленческий учет, финансы предприятия']",1–3 года,Пользователь ПК Работа в команде Работа с базами данных Работа с оргтехникой Точность и внимательность к деталям,от 45 000 до 50 000 руб. на руки
28,Санкт-Петербург,"['Транспорт, логистика']",не требуется,Пользователь ПК Мобильность Работа в команде Грамотная речь Водительское удостоверение категории B,от 110 000 руб. до вычета налогов
29,Москва,"['Транспорт, логистика']",1–3 года,Водительское удостоверение категории B,от 60 000 руб. на руки
30,Москва,['Высший менеджмент'],более 6 лет,Английский — C1 — Продвинутый Английский язык Поиск и привлечение клиентов Управление проектами Развитие продаж Управление продажами,от 3 000 до 4 500 USD на руки
31,Нижний Новгород,"['Информационные технологии, интернет, телеком']",не требуется,,от 30 000 до 60 000 руб. на руки
32,Санкт-Петербург,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,,от 80 000 до 350 000 руб. на руки
33,Москва,"['Информационные технологии, интернет, телеком']",3–6 лет,Управление проектами Ведение переговоров Заключение договоров MS Project Организаторские навыки,от 150 000 до 200 000 руб. на руки
